FECHA,IRRADH00,IRRADH03,IRRADH06,IRRADH09,IRRADH12,IRRADH15,IRRADH18,IRRADH21,ANNO,MES,DIA,DIASEM
2015-01-01,0.0,0.0,0.0,589813.0,1294089.5,468098.47,0.0,0.0,2015,1,1,3
2015-01-02,0.0,0.0,0.0,438244.75,989406.0,272884.66,0.0,0.0,2015,1,2,4
2015-01-03,0.0,0.0,0.0,543215.75,1162550.8,359685.12,0.0,0.0,2015,1,3,5
2015-01-04,0.0,0.0,0.0,504131.56,1229353.2,460497.5,0.0,0.0,2015,1,4,6
2015-01-05,0.0,0.0,0.0,502349.7,1012553.75,391783.16,0.0,0.0,2015,1,5,0
2015-01-06,0.0,0.0,0.0,514746.75,1231003.2,456819.94,0.0,0.0,2015,1,6,1
2015-01-07,0.0,0.0,0.0,580695.9,1306117.0,510897.9,0.0,0.0,2015,1,7,2
2015-01-08,0.0,0.0,0.0,599418.9,1166529.5,224081.0,0.0,0.0,2015,1,8,3
2015-01-09,0.0,0.0,0.0,577118.5,1282386.8,498845.16,0.0,0.0,2015,1,9,4
2015-01-10,0.0,0.0,0.0,602851.25,1325587.0,535620.1,0.0,0.0,2015,1,10,5
2015-01-11,0.0,0.0,0.0,122405.93,506398.62,320004.06,0.0,0.0,2015,1,11,6
2015-01-12,0.0,0.0,0.0,455857.5,1259098.5,560060.75,0.0,0.0,2015,1,12,0
2015-01-13,0.0,0.0,0.0,531975.75,1207027.2,246719.77,0.0,0.0,2015,1,13,1
2015-01-14,0.0,0.0,0.0,620719.2,1324236.5,511912.38,0.0,0.0,2015,1,14,2
2015-01-15,0.0,0.0,0.0,115108.87,345736.75,84186.7,0.0,0.0,2015,1,15,3
2015-01-16,0.0,0.0,0.0,91713.02,1177693.0,516742.0,0.0,0.0,2015,1,16,4
2015-01-17,0.0,0.0,0.0,645446.75,1379303.5,587446.06,0.0,0.0,2015,1,17,5
2015-01-18,0.0,0.0,0.0,346229.72,771381.56,215151.84,0.0,0.0,2015,1,18,6
2015-01-19,0.0,0.0,0.0,574565.0,1158699.9,516139.72,0.0,0.0,2015,1,19,0
2015-01-20,0.0,0.0,0.0,105104.234,264625.06,51786.12,0.0,0.0,2015,1,20,1
2015-01-21,0.0,0.0,0.0,163253.72,1023882.4,510604.4,0.0,0.0,2015,1,21,2
2015-01-22,0.0,0.0,0.0,143777.55,335645.53,353442.5,0.0,0.0,2015,1,22,3
2015-01-23,0.0,0.0,0.0,525002.0,1400758.8,701843.0,0.0,0.0,2015,1,23,4
2015-01-24,0.0,0.0,0.0,717797.8,1256233.2,257066.14,0.0,0.0,2015,1,24,5
2015-01-25,0.0,0.0,0.0,555686.94,1305217.2,599787.5,0.0,0.0,2015,1,25,6
2015-01-26,0.0,0.0,0.0,579885.06,1113352.4,290391.7,0.0,0.0,2015,1,26,0
2015-01-27,0.0,0.0,0.0,122175.57,458873.8,271752.06,0.0,0.0,2015,1,27,1
2015-01-28,0.0,0.0,0.0,500824.62,946184.0,172282.64,0.0,0.0,2015,1,28,2
2015-01-29,0.0,0.0,0.0,248110.58,482613.47,158147.92,0.0,0.0,2015,1,29,3
2015-01-30,0.0,0.0,0.0,46212.96,129394.83,20075.621,0.0,0.0,2015,1,30,4
2015-01-31,0.0,0.0,0.0,394937.84,814557.25,146217.3,0.0,0.0,2015,1,31,5
2015-02-01,0.0,0.0,0.0,274516.5,444087.6,224733.11,0.0,0.0,2015,2,1,6
2015-02-02,0.0,0.0,0.0,389145.8,587984.7,83959.23,0.0,0.0,2015,2,2,0
2015-02-03,0.0,0.0,0.0,593788.94,1057322.0,112735.08,0.0,0.0,2015,2,3,1
